,Date,Day of Week,Month,Year,number of items featured,who's featured,product type,number of pictures in post,likes,comments,saves,shares,impressions,number of days since previous post,season,profile visits,percent weren't following,follows,purpose
1,8/23/2019,Friday,August,2019,10,customer,mixed,3,89,5,2,0,202,0,summer,3,75,0,opening shop
2,8/27/2019,Tuesday,August,2019,1,layout,halter top,1,88,2,4,0,242,4,summer,0,72,0,debut
3,9/2/2019,Monday,September,2019,1,customer,tube top,2,87,4,4,0,203,5,fall,2,72,0,trade
4,9/6/2019,Friday,September,2019,1,customer,halter top,1,88,0,2,0,259,4,fall,2,72,0,customer
5,9/9/2019,Monday,September,2019,1,customer,tank top,2,106,1,6,0,302,3,fall,5,74,0,customer
6,9/18/2019,Wednesday,September,2019,1,customer,scarf,1,92,0,1,1,321,9,fall,9,77,0,customer
7,9/20/2019,Friday,September,2019,1,customer,tube top,1,108,4,1,0,186,2,fall,2,69,0,customer
8,9/23/2019,Monday,Septmeber,2019,2,none,embroidery,2,103,4,0,0,134,3,fall,0,65,0,debut
9,10/1/2019,Tuesday,October,2019,0,none,NA,2,108,6,3,0,130,8,fall,0,67,0,brag
10,10/8/2019,Tuesday,October,2019,1,customer,halter top,2,109,3,0,0,221,7,fall,1,72,0,trade
11,10/9/2019,Wednesday,October,2019,2,customer, mixed tops,1,107,1,0,0,189,1,fall,1,73,0,customer
12,10/19/2019,Monday,October,2019,1,none,heart,10,108,17,2,0,167,10,fall,0,67,0,heart
13,10/23/2019,Wednesday,October,2019,1,myself,beanie,3,107,11,1,0,158,4,fall,1,64,0,debut
14,10/27/2019,Sunday,October,2019,1,customer,mini back-pack,2,115,10,0,0,240,4,fall,0,73,0,debut
15,11/1/2019,Friday,November,2019,6,customer,tank top,8,114,11,3,2,369,5,fall,16,78,0,debut
16,11/13/2019,Wednesday,November,2019,1,customer,tank top,1,115,11,1,0,170,12,fall,0,68,0,customer
17,11/17/2019,Sunday,November,2019,2,customer,beanie,7,97,11,0,0,153,4,fall,0,65,0,debut
18,11/20/2019,Wednesday,November,2019,1,myself,halter top,1,122,3,4,1,164,3,fall,0,69,0,debut
19,11/24/2019,Sunday,November,2019,1,customer,tank top,1,123,11,0,1,194,4,fall,4,73,0,customer
20,11/25/2019,Monday,November,2019,0,none,NA,2,109,7,2,0,201,1,fall,1,69,0,brag
21,12/7/2019,Saturday,December,2019,9,customer,tube top,9,124,15,2,0,287,12,winter,0,70,0,advertise
22,12/12/2019,Thursday,December,2019,1,customer,tank top,1,138,19,8,1,354,5,winter,7,74,0,customer
